"Title:","'ge-22/0/4-Alamosa Zayo Fiber(1Gb) ETYX/123244//ZYO'"
"Vertical Label:","'bits per second'"
"Start Date:","2018-02-26 12:01:00"
"End Date:","2018-02-27 12:00:00"
"Step:","60"
"Total Rows:","1440"
"Graph ID:","2160"
"Host ID:","26"
""
"Date","In","Out"
"2018-02-27 11:03:00","4.8754997164e+07","3.6781980771e+08"
"2018-02-27 11:04:00","4.6081942402e+07","3.6028073336e+08"
"2018-02-27 11:05:00","4.9784681395e+07","3.6862608289e+08"
"2018-02-27 11:06:00","5.1307633199e+07","3.5240770800e+08"
"2018-02-27 11:07:00","4.9475100716e+07","3.5074871448e+08"
"2018-02-27 11:08:00","5.0301580387e+07","3.6915796530e+08"
"2018-02-27 11:09:00","4.5685512240e+07","3.4700551264e+08"
"2018-02-27 11:10:00","4.3104835367e+07","3.3881440687e+08"
"2018-02-27 11:11:00","4.5995710109e+07","3.2625328729e+08"
"2018-02-27 11:12:00","4.5693101744e+07","3.3384981275e+08"
"2018-02-27 11:13:00","4.7163301480e+07","3.3163455356e+08"
"2018-02-27 11:14:00","4.9121302147e+07","3.3204754770e+08"
"2018-02-27 11:15:00","4.7257820267e+07","3.3148438861e+08"
"2018-02-27 11:16:00","4.4195424144e+07","3.2608154431e+08"
"2018-02-27 11:17:00","4.6861022520e+07","3.4251175061e+08"
"2018-02-27 11:18:00","4.1961554280e+07","3.2313874797e+08"
"2018-02-27 11:19:00","4.6001969324e+07","3.5183917717e+08"
"2018-02-27 11:20:00","5.0183301849e+07","3.3674490520e+08"
"2018-02-27 11:21:00","4.7633256769e+07","3.7434328120e+08"
"2018-02-27 11:22:00","4.9158752840e+07","3.6087277703e+08"
"2018-02-27 11:23:00","4.7439971013e+07","3.4728965784e+08"
"2018-02-27 11:24:00","5.0529180425e+07","3.8720273505e+08"
"2018-02-27 11:25:00","4.6743558625e+07","3.5715197703e+08"
"2018-02-27 11:26:00","4.5913284495e+07","3.6402659077e+08"
"2018-02-27 11:27:00","4.7018203927e+07","3.6973633047e+08"
"2018-02-27 11:28:00","4.6073807269e+07","3.8126254040e+08"
"2018-02-27 11:29:00","4.4922237920e+07","3.8529218182e+08"
"2018-02-27 11:30:00","4.8284519518e+07","3.4782293303e+08"
"2018-02-27 11:31:00","4.6285134767e+07","3.5909576511e+08"
"2018-02-27 11:32:00","4.6881158664e+07","3.4457505527e+08"
"2018-02-27 11:33:00","4.8942951856e+07","3.2781900701e+08"
"2018-02-27 11:34:00","4.8598076047e+07","3.3877798682e+08"
"2018-02-27 11:35:00","4.5142071553e+07","3.2926013886e+08"
"2018-02-27 11:36:00","4.1990069460e+07","3.2143095967e+08"
"2018-02-27 11:37:00","3.9804570727e+07","3.0816781613e+08"
"2018-02-27 11:38:00","4.0601305907e+07","3.0221962044e+08"
"2018-02-27 11:39:00","4.4989761071e+07","3.1455628793e+08"
"2018-02-27 11:40:00","3.9449565453e+07","3.2715128115e+08"
"2018-02-27 11:41:00","4.3848644325e+07","3.1987299698e+08"
"2018-02-27 11:42:00","4.3949283410e+07","3.3344046166e+08"
"2018-02-27 11:43:00","4.1938514724e+07","3.5051544470e+08"
"2018-02-27 11:44:00","4.3582022584e+07","3.2529096312e+08"
"2018-02-27 11:45:00","4.4129721171e+07","3.3615593162e+08"
"2018-02-27 11:46:00","4.2412082753e+07","3.2624384095e+08"
"2018-02-27 11:47:00","4.2377213969e+07","3.1688758715e+08"
"2018-02-27 11:48:00","4.1653811318e+07","3.0392090840e+08"
"2018-02-27 11:49:00","3.8816634358e+07","2.5779909236e+08"
"2018-02-27 11:50:00","4.0218479019e+07","2.8400539347e+08"
"2018-02-27 11:51:00","4.2802293434e+07","3.1703912163e+08"
"2018-02-27 11:52:00","4.4637681355e+07","3.0746253769e+08"
"2018-02-27 11:53:00","4.3148009384e+07","2.9576875956e+08"
"2018-02-27 11:54:00","4.5288220124e+07","3.0092617890e+08"
"2018-02-27 11:55:00","4.4425022164e+07","2.9385337501e+08"
"2018-02-27 11:56:00","4.4665164340e+07","2.9720669209e+08"
"2018-02-27 11:57:00","4.4973914449e+07","3.0970838470e+08"
"2018-02-27 11:58:00","4.8355266664e+07","3.1303943757e+08"
"2018-02-27 11:59:00","4.7853188884e+07","3.0357359095e+08"
"2018-02-27 12:00:00","4.6108312569e+07","2.9984469973e+08"
"2018-02-26 12:01:00","3.8923457572e+07","3.2986950249e+08"
"2018-02-26 12:02:00","3.9586285322e+07","3.4538944417e+08"
"2018-02-26 12:03:00","4.0085516089e+07","3.2695356941e+08"
"2018-02-26 12:04:00","4.1691406277e+07","3.1958174607e+08"
"2018-02-26 12:05:00","4.0350017014e+07","3.4421182669e+08"
"2018-02-26 12:06:00","4.0573120366e+07","3.4649359187e+08"
"2018-02-26 12:07:00","3.8746521054e+07","3.6263936225e+08"
"2018-02-26 12:08:00","4.2016240224e+07","3.4418339372e+08"
"2018-02-26 12:09:00","4.1707659096e+07","3.7868531428e+08"
"2018-02-26 12:10:00","4.6670623353e+07","3.7331807253e+08"
"2018-02-26 12:11:00","4.7256208207e+07","3.6778585536e+08"
"2018-02-26 12:12:00","4.2377794473e+07","3.4488434678e+08"
"2018-02-26 12:13:00","4.3892076324e+07","3.6693693647e+08"
"2018-02-26 12:14:00","4.2877298433e+07","3.4848949352e+08"
"2018-02-26 12:15:00","4.5422930793e+07","3.6849057182e+08"
"2018-02-26 12:16:00","4.6054843711e+07","3.5703110203e+08"
"2018-02-26 12:17:00","4.7783330138e+07","3.5661770341e+08"
"2018-02-26 12:18:00","4.7771526938e+07","3.6961862911e+08"
"2018-02-26 12:19:00","4.4734853996e+07","3.6186475535e+08"
"2018-02-26 12:20:00","4.4666599421e+07","3.7003265593e+08"
"2018-02-26 12:21:00","4.1834498559e+07","3.4489581477e+08"
"2018-02-26 12:22:00","4.2316892250e+07","3.4539540445e+08"
"2018-02-26 12:23:00","4.0803676287e+07","3.2007032940e+08"
"2018-02-26 12:24:00","3.8880536489e+07","3.0814002424e+08"
"2018-02-26 12:25:00","3.9208050312e+07","3.3650887716e+08"
"2018-02-26 12:26:00","4.2169296271e+07","3.1883912930e+08"
"2018-02-26 12:27:00","4.5893661019e+07","3.1369797071e+08"
"2018-02-26 12:28:00","4.5979081877e+07","3.2675884366e+08"
"2018-02-26 12:29:00","4.2183783609e+07","3.4573209828e+08"
"2018-02-26 12:30:00","4.2971677109e+07","3.3883244282e+08"
"2018-02-26 12:31:00","4.4273654209e+07","3.5248278764e+08"
"2018-02-26 12:32:00","4.8775297633e+07","3.5286234587e+08"
"2018-02-26 12:33:00","4.8705412496e+07","3.6661747683e+08"
"2018-02-26 12:34:00","4.8013399938e+07","3.4206948589e+08"
"2018-02-26 12:35:00","4.8028134573e+07","3.3966582440e+08"
"2018-02-26 12:36:00","4.3847745902e+07","3.1929509607e+08"
"2018-02-26 12:37:00","4.5948970316e+07","3.2052139312e+08"
"2018-02-26 12:38:00","4.5608168418e+07","3.0551745179e+08"
"2018-02-26 12:39:00","4.0754972098e+07","3.1858995625e+08"
"2018-02-26 12:40:00","3.9997838778e+07","3.0516216101e+08"
"2018-02-26 12:41:00","4.7134488833e+07","3.2602051447e+08"
"2018-02-26 12:42:00","4.8565635970e+07","3.2252146326e+08"
"2018-02-26 12:43:00","5.5845731704e+07","3.4214456590e+08"
"2018-02-26 12:44:00","5.4089848281e+07","3.3667713742e+08"
"2018-02-26 12:45:00","4.9120432909e+07","3.4006139909e+08"
"2018-02-26 12:46:00","4.7293863094e+07","3.4074882069e+08"
"2018-02-26 12:47:00","4.7533459469e+07","3.3045802364e+08"
"2018-02-26 12:48:00","4.7834550854e+07","3.3357024523e+08"
"2018-02-26 12:49:00","4.6090681340e+07","3.1260102803e+08"
"2018-02-26 12:50:00","4.8398924053e+07","3.0945593389e+08"
"2018-02-26 12:51:00","4.7093290987e+07","3.1620861965e+08"
"2018-02-26 12:52:00","5.1882274727e+07","3.2593503784e+08"
"2018-02-26 12:53:00","5.0872299327e+07","3.2342750034e+08"
"2018-02-26 12:54:00","4.9022627600e+07","3.1691824456e+08"
"2018-02-26 12:55:00","4.4374225364e+07","3.1535469851e+08"
"2018-02-26 12:56:00","4.3089907875e+07","2.9033651544e+08"
"2018-02-26 12:57:00","4.3377595857e+07","3.0314126612e+08"
"2018-02-26 12:58:00","4.4832713477e+07","3.2023287534e+08"
"2018-02-26 12:59:00","4.5325218489e+07","3.0180070972e+08"
"2018-02-26 13:00:00","4.6863250118e+07","3.0504216570e+08"
"2018-02-26 13:01:00","4.6168698038e+07","3.0965352785e+08"
"2018-02-26 13:02:00","4.7819462517e+07","3.2934209088e+08"
"2018-02-26 13:03:00","4.6832590273e+07","3.3088568616e+08"
"2018-02-26 13:04:00","4.6264147364e+07","3.2405110142e+08"
"2018-02-26 13:05:00","4.6296901424e+07","3.0020749469e+08"
"2018-02-26 13:06:00","4.5165668806e+07","3.2346036770e+08"
"2018-02-26 13:07:00","4.5063972390e+07","3.2314244087e+08"
"2018-02-26 13:08:00","4.4063178386e+07","3.2463989541e+08"
"2018-02-26 13:09:00","3.9681342765e+07","2.9255391457e+08"
"2018-02-26 13:10:00","4.2543480862e+07","3.1300828622e+08"
"2018-02-26 13:11:00","4.1282816723e+07","3.0726742220e+08"
"2018-02-26 13:12:00","4.2808914213e+07","3.0526326334e+08"
"2018-02-26 13:13:00","4.7465094842e+07","3.3872703847e+08"
"2018-02-26 13:14:00","5.3475752958e+07","3.4467666596e+08"
"2018-02-26 13:15:00","5.3954486816e+07","3.2323677327e+08"
"2018-02-26 13:16:00","4.8096884338e+07","3.1456232272e+08"
"2018-02-26 13:17:00","4.9438554846e+07","3.2690814583e+08"
"2018-02-26 13:18:00","5.1996370704e+07","3.3670155348e+08"
"2018-02-26 13:19:00","4.7350422991e+07","3.1878029147e+08"
"2018-02-26 13:20:00","4.3963246133e+07","3.1265691608e+08"
"2018-02-26 13:21:00","4.1956404271e+07","3.0320988322e+08"
"2018-02-26 13:22:00","4.2172217777e+07","3.4017538043e+08"
"2018-02-26 13:23:00","4.6309312932e+07","3.6070066642e+08"
"2018-02-26 13:24:00","4.7158697129e+07","3.4463071069e+08"
"2018-02-26 13:25:00","4.4269152997e+07","3.2347372505e+08"
"2018-02-26 13:26:00","4.3251206213e+07","3.1591116055e+08"
"2018-02-26 13:27:00","4.2130624045e+07","3.0786631656e+08"
"2018-02-26 13:28:00","4.3538950668e+07","3.1805008524e+08"
"2018-02-26 13:29:00","4.5938356656e+07","3.0956858505e+08"
"2018-02-26 13:30:00","5.5702950436e+07","3.2325410789e+08"
"2018-02-26 13:31:00","5.0067738654e+07","3.3517699712e+08"
"2018-02-26 13:32:00","5.4311335362e+07","3.5865316943e+08"
"2018-02-26 13:33:00","5.1104113860e+07","3.1327768273e+08"
"2018-02-26 13:34:00","4.9808682592e+07","3.0256741333e+08"
"2018-02-26 13:35:00","4.2728540458e+07","3.0102342598e+08"
"2018-02-26 13:36:00","4.5125009338e+07","3.0470894919e+08"
"2018-02-26 13:37:00","4.5201816037e+07","3.1026280210e+08"
